"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","biome","bioregion","veg_type"
23.625,-33.375,439,407,69,138,28.781379699707,1073,0.408899992704391,14.720832824707,27.2000007629395,2.59999990463257,12.9416666030884,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Grassy Sandstone Fynbos"
25.625,-33.375,447,399,70,122,22.6202449798584,183,0.742999970912933,18.1958332061768,28.2999992370605,6.90000009536743,12.158332824707,"Albany Thicket","Albany Thicket","Sundays Mesic Thicket"
25.875,-33.375,448,499,81,159,25.9470825195312,416,0.696200013160706,17.2041664123535,27.1000003814697,6.69999980926514,12.0416669845581,"Albany Thicket","Albany Thicket","Albany Valley Thicket"
26.125,-33.375,449,581,91,191,27.8595790863037,511,0.723100006580353,16.9291667938232,26.7000007629395,7,11.6583337783813,"Albany Thicket","Albany Thicket","Albany Valley Thicket"
26.375,-33.375,450,625,94,211,30.210334777832,438,0.622300028800964,17.345832824707,26.8999996185303,7.69999980926514,11.6749992370605,"Albany Thicket","Albany Thicket","Albany Mesic Thicket"
26.625,-33.375,451,654,101,219,29.3312091827393,335,0.770299971103668,18.0166664123535,26.7999992370605,8.89999961853027,10.8166666030884,"Albany Thicket","Albany Thicket","Albany Valley Thicket"
26.875,-33.375,452,669,105,219,28.1349506378174,338,0.644299983978271,18.1124992370605,26.6000003814697,9,10.4083337783813,"Albany Thicket","Albany Thicket","Albany Valley Thicket"
18.125,-33.125,485,330,25,160,68.3903732299805,83,0.468100011348724,16.1666660308838,24.2999992370605,8.60000038146973,8.93333339691162,"Fynbos","West Strandveld Bioregion","Saldanha Granite Strandveld"
19.125,-33.125,489,433,53,187,51.5569763183594,1037,0.509800016880035,13.841667175293,25.5,3.59999990463257,11.1999998092651,"Fynbos","Northwest Fynbos Bioregion","Winterhoek Sandstone Fynbos"
19.375,-33.125,490,359,47,154,51.0387954711914,968,0.329100012779236,14.4250001907349,28.7000007629395,2.09999990463257,14.0666666030884,"Fynbos","Western Fynbos-Renosterveld Bioregion","Ceres Shale Renosterveld"
19.875,-33.125,492,202,25,83,48.5229148864746,622,0.303200006484985,17.5625,32.5,3.70000004768372,15.3083333969116,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Tanqua Karoo"
20.125,-33.125,493,193,25,74,42.6852722167969,736,0.384999990463257,17.0499992370605,31.5,3.70000004768372,14.5333337783813,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Tanqua Karoo"
20.375,-33.125,494,187,27,66,34.0591506958008,820,0.366299986839294,16.8875007629395,31.8999996185303,2.79999995231628,15.4416666030884,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Tanqua Karoo"
20.625,-33.125,495,186,29,62,28.7189254760742,845,0.23870000243187,16.9541664123535,32.2000007629395,2.29999995231628,15.9250001907349,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Koedoesberge-Moordenaars Karoo"
20.875,-33.125,496,170,29,58,26.1982173919678,725,0.186299994587898,18.0499992370605,33.2000007629395,3.09999990463257,15.8833332061768,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Koedoesberge-Moordenaars Karoo"
21.625,-33.125,499,193,37,66,24.1298732757568,476,0.207399994134903,18.2374992370605,33.2000007629395,3.20000004768372,15.9916667938232,"Nama-Karoo","Lower Karoo Bioregion","Gamka Karoo"
21.875,-33.125,500,190,35,67,26.7876224517822,498,0.150099992752075,17.9874992370605,33,3.20000004768372,15.9750003814697,"Nama-Karoo","Lower Karoo Bioregion","Gamka Karoo"
22.125,-33.125,501,212,38,75,28.6524829864502,692,0.297399997711182,16.9958324432373,31.8999996185303,2.79999995231628,15.9416666030884,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Prince Albert Succulent Karoo"
22.375,-33.125,502,261,45,90,28.1845779418945,919,0.268900007009506,15.7333335876465,30,2.29999995231628,15.0500001907349,"Nama-Karoo","Lower Karoo Bioregion","Gamka Karoo"
23.375,-33.125,506,309,53,112,32.3207778930664,780,0.308400005102158,16.6291675567627,30.2999992370605,3.20000004768372,14.1916666030884,"Albany Thicket","Albany Thicket","Eastern Gwarrieveld"
24.375,-33.125,510,367,63,123,29.0960521697998,616,0.31700000166893,18.029167175293,31.6000003814697,4,14.7249994277954,"Nama-Karoo","Lower Karoo Bioregion","Eastern Lower Karoo"
25.125,-33.125,513,293,50,104,30.4509124755859,251,0.670199990272522,19.0208339691162,32,4.09999990463257,14.3249998092651,"Azonal Vegetation","Inland Saline Vegetation","Southern Karoo Riviere"
26.375,-33.125,518,558,83,185,31.1938247680664,359,0.425000011920929,18.25,29.2000007629395,7.30000019073486,13.1333332061768,"Albany Thicket","Albany Thicket","Fish Arid Thicket"
26.625,-33.125,519,583,86,191,30.9882431030273,279,0.502499997615814,18.7083339691162,29.5,7.90000009536743,12.7333335876465,"Albany Thicket","Albany Thicket","Fish Arid Thicket"
26.875,-33.125,520,594,90,190,30.0252552032471,224,0.597800016403198,18.8500003814697,28.7000007629395,8.60000038146973,11.5500001907349,"Albany Thicket","Albany Thicket","Fish Valley Thicket"
27.625,-33.125,523,789,111,264,31.9729042053223,82,0.869799971580505,18.7124996185303,26.1000003814697,9.89999961853027,9.04166603088379,"Savanna","Sub-Escarpment Savanna Bioregion","South Eastern Coastal Thornveld"
18.125,-32.875,553,303,23,148,67.9359664916992,72,0.545799970626831,17.2416667938232,28,8.10000038146973,11.6666660308838,"Fynbos","West Strandveld Bioregion","Saldanha Flats Strandveld"
18.625,-32.875,555,358,30,170,63.971736907959,74,0.294200003147125,18.4291667938232,31,7.59999990463257,12.9583330154419,"Fynbos","West Coast Renosterveld Bioregion","Swartland Shale Renosterveld"
19.125,-32.875,557,364,41,163,55.7508087158203,610,0.583700001239777,15.7791662216187,28.5,4.69999980926514,12.1583337783813,"Fynbos","Northwest Fynbos Bioregion","Graafwater Sandstone Fynbos"
19.375,-32.875,558,346,50,141,44.6482772827148,1312,0.359600007534027,13.0500001907349,26.2999992370605,1.60000002384186,12.8999996185303,"Fynbos","Northwest Fynbos Bioregion","Cederberg Sandstone Fynbos"
19.625,-32.875,559,287,42,114,42.4549217224121,1193,0.272300004959106,13.6708335876465,27.5,1.5,13.8583335876465,"Fynbos","Northwest Fynbos Bioregion","Swartruggens Quartzite Fynbos"
20.125,-32.875,561,177,24,67,40.890697479248,769,0.334600001573563,17.2541675567627,32.4000015258789,3.20000004768372,15.591667175293,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Koedoesberge-Moordenaars Karoo"
